datetime,value
2022-01-01 01:00:00+00:00,33.78
2022-01-01 02:00:00+00:00,43.87
2022-01-01 03:00:00+00:00,44.57
2022-01-01 04:00:00+00:00,43.7
2022-01-01 05:00:00+00:00,54.03
2022-01-01 06:00:00+00:00,95.2
2022-01-01 07:00:00+00:00,69.31
2022-01-01 08:00:00+00:00,83.8
2022-01-01 09:00:00+00:00,75.39
2022-01-01 10:00:00+00:00,69.87
2022-01-01 11:00:00+00:00,81.1
2022-01-01 12:00:00+00:00,83.4
2022-01-01 13:00:00+00:00,86.6
2022-01-01 14:00:00+00:00,75.95
2022-01-01 15:00:00+00:00,52.51
2022-01-01 16:00:00+00:00,35.81
2022-01-01 17:00:00+00:00,29.61
2022-01-01 18:00:00+00:00,22.26
2022-01-01 19:00:00+00:00,17.14
2022-01-01 20:00:00+00:00,15.82
2022-01-01 21:00:00+00:00,15.81
2022-01-01 22:00:00+00:00,15.33
2022-01-01 23:00:00+00:00,15.32
2022-01-02 00:00:00+00:00,18.49
2022-01-02 01:00:00+00:00,22.27
2022-01-02 02:00:00+00:00,30.01
2022-01-02 03:00:00+00:00,30.88
2022-01-02 04:00:00+00:00,23.34
2022-01-02 05:00:00+00:00,25.29
2022-01-02 06:00:00+00:00,24.85
2022-01-02 07:00:00+00:00,27.75
2022-01-02 08:00:00+00:00,30.26
2022-01-02 09:00:00+00:00,29.74
2022-01-02 10:00:00+00:00,34.37
2022-01-02 11:00:00+00:00,41.51
2022-01-02 12:00:00+00:00,52.75
2022-01-02 13:00:00+00:00,45.12
2022-01-02 14:00:00+00:00,40.93
2022-01-02 15:00:00+00:00,36.22
2022-01-02 16:00:00+00:00,31.67
2022-01-02 17:00:00+00:00,32.76
2022-01-02 18:00:00+00:00,24.17
2022-01-02 19:00:00+00:00,23.23
2022-01-02 20:00:00+00:00,20.37
2022-01-02 21:00:00+00:00,20.21
2022-01-02 22:00:00+00:00,20.57111111111111
2022-01-02 23:00:00+00:00,20.932222222222222
2022-01-03 00:00:00+00:00,21.293333333333333
2022-01-03 01:00:00+00:00,21.654444444444444
2022-01-03 02:00:00+00:00,22.015555555555558
2022-01-03 03:00:00+00:00,22.37666666666667
2022-01-03 04:00:00+00:00,22.73777777777778
